NAME	CHR	BEG	END	CLASS	F:M SLOPE	F10	F11	F12	U13	F14A	U14A	F14B	F14B_r2	F14C	F14C_r2	F14D	U14D	M10	M11	M12	M13	M14A	M14A_r2	M14B	M14B_r2	M14C	M14C_r2	M14D	M14D_r2	w1_F10	w1_F11	w1_F12	w1_U13	w1_F14A	w1_U14A	w1_F14B	w1_F14B_r2	w1_F14C	w1_F14C_r2	w1_F14D	w1_U14D	w1_M10	w1_M11	w1_M12	w1_M13	w1_M14A	w1_M14A_r2	w1_M14B	w1_M14B_r2	w1_M14C	w1_M14C_r2	w1_M14D	w1_M14D_r2	cas_F10	cas_F11	cas_F12	cas_U13	cas_F14A	cas_U14A	cas_F14B	cas_F14B_r2	cas_F14C	cas_F14C_r2	cas_F14D	cas_U14D	cas_M10	cas_M11	cas_M12	cas_M13	cas_M14A	cas_M14A_r2	cas_M14B	cas_M14B_r2	cas_M14C	cas_M14C_r2	cas_M14D	cas_M14D_r2
btsz	3R	10632262	10646665	matzyg	1.246445165	2.57	4.74	7.34	13.94	53.99	52.81	91.58	175.02	279.67	422.35	321.55	305.82	3.83	4.58	6.99	14.34	38.28	57.69	104.31	93.87	223.94	273.83	245.81	169.14	0	0	0	8.96	22.73	28.23	71.38	68.59	110.28	126.04	166.73	112.25	0	0	0	0	22.23	35.07	74.51	58.3	100.66	131.84	158.83	80.64	0	0	0	4.98	31.26	24.58	20.2	106.43	169.39	296.31	154.82	193.57	0	0	0	0	16.05	22.62	29.8	35.57	123.28	141.99	86.98	88.5
btv	2L	17962734	17982472	zyg	1.695652174	0.04	0	0.05	0.01	0.02	0.01	0	0.02	0.08	0.17	0.08	0.2	0.03	0.01	0	0	0.01	0.03	0.01	0.03	0.05	0.12	0.03	0.09																																																
btz	3R	23525985	23529174	mat	0.871898992	86.69	91.73	55.96	27.77	6.49	5.66	6.66	7.15	4.66	3.83	4.84	6.75	67.75	125.16	52.12	38.11	11.21	12.58	4.64	6.3	5.33	5.88	7.06	3.67	86.17	91.73	55.96	27.77	0	5.66	0	0	3.11	0	3.08	4.5	67.75	125.16	52.12	38.11	11.21	12.58	3.8	6.3	0	5.88	4.34	0	0.52	0	0	0	0	0	0	0	1.55	0	1.76	2.25	0	0	0	0	0	0	0.84	0	0	0	2.72	0
Bub1	2L	5279050	5283002	mat	0.942223009	59.94	68.78	78.97	52.15	36.46	21.65	20.52	35.9	17.01	36.04	17.39	18.73	72.41	68.3	68.51	68.38	37.43	33.55	21.26	36.21	15.73	32.69	13.85	8.59	59.94	67.52	78.1	51.73	30.22	15.26	15.08	23.47	6.8	18.02	7.13	4.68	72.41	68.3	68.51	68.38	32.15	30.02	14.53	25.19	6.1	14.53	4.87	5.95	0	1.26	0.87	0.42	6.24	6.39	5.44	12.43	10.21	18.02	10.26	14.05	0	0	0	0	5.28	3.53	6.73	11.02	9.63	18.16	8.98	2.64
Bub3	3R	25499854	25501141	mat	1.026886982	192.66	170.94	215.71	236.06	247.18	237.61	217.2	257.44	319.07	301.4	325.5	337.94	200.17	155.42	211.7	222.96	231.43	241.88	234.02	246.57	314.7	291.7	303.9	340.59	192.66	170.94	215.71	235.3	246.55	230.95	213.07	254.09	293.2	288.27	288.86	301.76	199.56	154.08	209.35	222.44	228.32	239.42	232.23	243.26	274.56	279.16	265.91	287.12	0	0	0	0.76	0.63	6.66	4.13	3.35	25.87	13.13	36.64	36.18	0.61	1.34	2.35	0.52	3.11	2.46	1.79	3.31	40.14	12.54	37.99	53.47
BubR1	2R	1856599	1862122	mat	1.008696487	50.99	33.69	72.37	52.84	63.82	41.41	23.96	80.35	52.23	78.97	58.3	73.61	65.1	30.22	55.2	71.48	55.46	56.01	26.22	68.72	46.35	70.98	41.25	42.26																																																
Buffy	2R	7566977	7576264	zyg	0.43137	0	0	0.09	0.11	0.09	0	0.25	0.14	0.52	0.39	0.42	0.64	0	0	0.04	0.1	0.43	0.3	0.04	0.14	1.34	0.16	0.56	0.51																																																
bun	2L	12456576	12546630	mat	1.10283365	106.3	69.07	81.38	33.44	15.58	27.92	34.64	78.63	33.43	95.55	24.75	30	90.24	79.68	44.67	44.2	22.78	18.06	31.58	56.67	16.54	77.8	17.13	11.51	106.3	69.07	81.38	31.03	12.78	20.06	26.88	53.55	21.17	63.84	17.19	17.62	90.24	79.68	44.67	40.6	18.49	14.45	20.89	40.66	11.22	51.64	10.62	7.19	0	0	0	2.41	2.8	7.86	7.76	25.08	12.26	31.71	7.56	12.38	0	0	0	3.6	4.29	3.61	10.69	16.01	5.32	26.16	6.51	4.32
bur	2L	21174382	21179697	mat	0.938849728	129.99	106.77	195.88	139.68	192.55	141.21	98.63	235.88	62.36	147.57	49.65	54.45	179.56	105.55	177.14	193.12	159.87	168.44	99.07	210.91	41.04	140.93	34.3	34.81																																																
burs	3R	17595272	17595916		0	0	0	0	0	0	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
bves	X	20925033	20949964	mat	1.119177641	19.55	9.48	9.63	1.43	0.95	0.43	0.58	0.65	1.66	1.19	2.99	2.12	16.69	11.1	3.9	2.85	0.83	0.49	0.38	0.83	1	0.93	1.39	1.22																																																
bw	2R	19415327	19426016	zyg	1.047083282	0.31	0.09	0.09	0.18	0.35	0.14	0.25	0.59	0.59	0.5	0.6	2.43	0.11	0.19	0.2	0.24	0.22	0.15	0.15	0.24	0.67	0.42	0.39	1.33	0.31	0	0.09	0.18	0.33	0	0	0	0	0	0.19	0.86	0	0	0	0.24	0.2	0.11	0	0	0.34	0.23	0.19	0.74	0	0	0	0	0.02	0	0	0	0	0	0.41	1.57	0	0	0	0	0.02	0.04	0	0	0.34	0.19	0.2	0.59
bwa	2L	20066369	20073725	zyg	0.858075201	1.08	1.28	0.48	0.67	2.96	0.88	1.49	2.77	7.35	12.2	14.79	13.8	0.89	1.24	0.28	0.11	0.92	1.45	2.28	2.25	12.06	8.91	14.45	12.75	0	0	0	0	0	0	0	0	0	0	7.39	6.9	0	0	0	0	0	0	0	0	0	3.24	3.49	2.12	0	0	0	0	0	0	0	0	0	0	7.39	6.9	0	0	0	0	0	0	0	0	0	5.67	10.96	10.62
Bx	X	18428697	18465749	mat	0.921858494	28.52	21.9	13.62	2.6	0.58	0.69	0.64	0.51	0.62	0.37	0.65	0.33	24.4	30.52	8.61	4.19	1.23	0.68	0.33	0.66	0.38	0.19	0.56	0.2	28.52	21.9	0	0	0	0	0	0	0	0	0	0	24.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bx42	X	8998350	9000635	mat	1.016094666	112.77	124.72	112.34	123.02	136.01	142.27	163.38	160.11	174.9	162.01	167.33	170.15	102.24	163.69	121.53	121.56	131.59	153.85	145.9	151.38	146.04	162.79	158.89	110.11	112.77	124.72	112.34	123.02	133.66	142.27	157.75	160.11	161.57	157.82	159.87	170.15	102.24	0	121.53	120.45	131.59	153.85	145.9	151.38	146.04	162.79	158.89	110.11	0	0	0	0	2.34	0	5.63	0	13.33	4.19	7.46	0	0	0	0	1.11	0	0	0	0	0	0	0	0
bxd	3R	12567846	12598911	zyg	0.732931505	0	0.04	0	0.22	0.74	1.58	0.89	3.32	23.6	30.33	41.36	28.02	0	0	0	0	0.83	1.04	3.11	1.24	46.11	28.84	40.42	33.44	0	0	0	0	0	0	0	0	16.19	14.12	20.68	13.49	0	0	0	0	0	0	0	0	33.93	16.72	22.07	20.54	0	0	0	0	0	0	0	0	7.41	16.21	20.68	14.53	0	0	0	0	0	0	0	0	12.18	12.12	18.35	12.9
by	3R	5353959	5358734	mat	0.829880282	5.54	6.12	9.5	9.27	5.66	3.56	3.62	3.87	0.02	0.58	0.27	0.23	8.94	9.48	7.16	11.53	5.04	3.1	1.92	4.77	0.16	0.55	0.28	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	9.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
byn	3L	11924480	11928831	zyg	0.97237074	0	0	0.13	1.41	3.88	3.85	9.62	17.68	42.48	37.98	34.53	39.01	0	0	0.09	0.35	5.2	5.88	4.06	5.32	32.17	24.72	44.28	23.22	0	0	0	0	1.84	1.44	3.61	6.53	16.36	14.55	12.83	16.48	0	0	0	0	1.46	3.21	1.01	2.84	16.76	12.36	21.81	8.86	0	0	0	0	2.04	2.41	6.01	11.15	26.12	23.43	21.7	22.53	0	0	0	0	3.74	2.67	3.04	2.48	15.41	12.36	22.47	14.36
bys	X	7795934	7797679	mat	1.079993009	80.44	77.13	86.27	84.6	92.64	65.22	72.39	67.26	37.61	45.56	46.79	28.85	79.25	60.69	85.74	79.13	93.91	86.53	58.95	77.18	29.6	34.27	28.31	28.97																																																
Bzd	X	2500711	2502700	mat	1.277628326	23.93	12.87	6.17	0.99	0.45	0.4	0.52	0.39	3.69	2.33	4.03	3.19	16.81	13.1	3.05	1.06	0.6	0.49	0.89	0.49	2.14	1.5	2.7	2.47	23.93	12.87	6.17	0	0	0	0	0	2.87	0	2.27	3.19	16.81	13.1	3.05	0	0	0	0	0	2.14	1.36	0	0	0	0	0	0	0	0	0	0	0.82	0	1.76	0	0	0	0	0	0	0	0	0	0	0.14	0	0
c(2)M	2L	16303259	16305941	mat	1.14509285	5.24	0.67	2.19	0.17	0.13	0	0	0.11	0.07	0.08	0.39	0.5	4.39	0.65	0.78	1.35	0.18	0.1	0.06	0.08	0.22	0.26	0.29	0.53																																																
c(3)G	3R	11615198	11618294	mat	0.961644916	41.62	15.37	56.66	34.78	33.6	26.03	7.92	27.14	1.67	9.66	2.63	3.62	45.75	7.01	33.88	51.13	36.04	27.95	7.43	36.17	2.17	6.91	2.06	2.2	41.62	15.37	56.66	34.78	33.6	26.03	7.92	26.8	0	9.66	0	0	45.75	7.01	33.88	50.69	35.74	27.95	7.43	36.17	0	6.91	1.87	1.83	0	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0.44	0.3	0	0	0	0	0	0.19	0.37
c11.1	X	9169682	9177132	mat	1.019053769	40.95	33.04	32.85	6.7	4.19	1.66	1.71	2.91	3.72	5.69	4.46	3.92	34.84	39.94	23.33	14.02	3.48	2.98	1.32	3.55	1.74	2.94	2.52	1.79																																																
c12.1	X	9211946	9213277	mat	0.985355623	55.97	69.27	53.73	66.25	79.79	88.15	96.2	86.01	112.64	97.59	102.03	92.49	53.13	82.43	59.87	68.38	84.31	85.78	93.85	81.64	91.63	99.09	112.02	83																																																
c12.2	X	9213524	9218392	matzyg	1.434349355	2.99	1.67	1	0.35	0.39	0.17	0.58	1.24	7.02	6.05	7.4	5.23	2.43	2.16	0.46	0.28	0.15	0.48	0.72	0.36	4.19	3.4	5.13	3.24																																																
C15	3R	17325976	17338054	zyg	0.797141111	0	0	0	0	0	0	0	0.05	0.51	0	1.48	1.56	0	0	0	0	0	0.1	0	0	0.34	0	1.91	0.8																																																
C1GalTA	2L	8943453	8951200	mat	1.000076084	57.07	52.55	59.45	20	1.77	0.73	1	0.62	0.2	0.2	0.25	0.12	71.03	45.27	43.99	20.81	2.04	1.03	0.1	0.85	0.22	0.52	0.34	0.17	57.07	0	59.45	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3G	X	6675448	6697579	mat	0.8241573	19.03	16.48	17.7	9.02	2.56	1.14	1.25	1.7	3.02	4.25	4.25	4.13	18.39	24.74	16.45	14.81	4.09	3.28	0.97	2.71	2.82	2.27	2.8	1.85	19.03	16.48	17.7	9.02	0	0	0	0	2.32	0	2.51	3.85	17.95	24.74	16.45	13.99	4.09	0	0	2.71	2.82	0	0	0	0	0	0	0	0	0	0	0	0.7	0	1.74	0.28	0.44	0	0	0.82	0	0	0	0	0	0	0	0
C901	X	10858239	10861165		0	0	0	0	0	0	0	0	0.03	0.03	0	0	0.04	0	0	0	0	0	0	0	0	0	0.03	0.06	0.06																																																
ca	3R	25632969	25640782	mat	1.046099314	27.92	18.18	16.03	2.87	0.97	0.34	0.4	0.9	1.28	0.93	1.6	2.88	23.14	22.31	10.22	6.4	0.73	0.85	0.38	0.74	1.46	0.84	1.89	1.49	27.92	18.18	16.03	2.87	0	0	0	0	0	0	0	1.57	23.14	22.31	10.22	6.4	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.31	0	0	0	0	0	0	0	0	0	0	0	0.99
Ca-alpha1D	2L	16170656	16190086	zyg	0.512551517	0	0	0	0	0	0.01	0	0.08	0.6	0.27	0.28	1	0	0.01	0	0	0	0.02	0.03	0	0.12	0.05	0.72	0.19	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0
Ca-alpha1T	X	6001085	6040199	zyg	1.046920821	0	0.01	0	0.01	0	0.01	0.04	0.08	0.12	0.14	0.17	0.4	0.01	0.04	0	0	0.03	0.05	0.01	0.01	0.05	0.06	0.17	0.07																																																
Ca-beta	2L	11160244	11170471		2.739130435	0	0.63	0.05	0.34	0.11	0.04	0	0.05	0	0.1	0	0.08	0	0.23	0	0	0	0.02	0	0.05	0	0	0	0.02																																																
Ca-P60A	2R	19815002	19821281	mat	0.886951988	222.54	222.92	190.3	75.12	46.67	34.19	41.82	70.82	43.11	48.01	30.91	51.37	223.55	274.89	178.87	136.81	55.83	62.11	26.41	59.78	25.51	44.82	29.82	21.17																																																
CaBP1	2L	16354938	16356761	mat	0.987003646	113.24	138.97	124.59	138.49	176.77	174.76	205.72	198.86	240.9	238.22	272.14	311.63	114.56	166.08	147.86	146.67	172.46	193.66	196.74	194.91	244.68	246.11	256.15	196.37																																																
cac	X	11827718	11875209	matzyg	2.507772021	0.22	0.28	0.3	0.32	0.11	0.06	0.02	0.12	0.3	0.24	0.36	0.41	0.1	0.1	0.05	0.07	0.08	0.06	0.01	0.07	0.12	0.16	0.17	0.17																																																
cact	2L	16313028	16326101	mat	1.029627253	418.74	425.77	457.77	461.74	497.68	460.32	450.5	590.97	470.83	562.63	453.52	440.44	397.71	462.01	450.62	502.95	507.99	527.41	450.47	522.14	353.38	561.25	354.13	319.19																																																
cactin	X	20295006	20297429	mat	1.108348925	39.95	45.86	48.48	54.24	54.18	51.48	59.04	71.64	73.07	79.11	71.47	51.66	42.74	50.08	58.17	51.87	49.5	56.19	54.62	62.21	47.66	63.42	41.85	33.84	39.95	45.86	47.97	53.67	49.93	51.48	57.04	68.82	57.22	66.82	46.38	51.66	42.74	50.08	58.17	51.87	49.5	55.74	54.62	62.21	46.94	63.42	41.85	33.84	0	0	0.51	0.57	4.25	0	2	2.82	15.85	12.29	25.09	0	0	0	0	0	0	0.45	0	0	0.72	0	0	0
cad	2L	20770734	20783142	mat	0.826095879	176.67	184.9	155.55	108.56	63.28	56.12	70.47	49.66	5.7	15.97	5.87	4.97	160.42	290.55	141.77	108.22	77.86	74.44	40.34	56.83	5.96	15.2	8.63	3.2																																																
Cad74A	3L	17360850	17372629	zyg	0.634010812	0	0.03	0.02	0.14	0.94	0.25	0.65	1.96	12.62	7.42	14.03	29.74	0	0	0	0	0.66	0.45	0.65	0.5	21.64	6.5	20.32	15.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.94	0	5.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71	0	14.78	0
Cad86C	3R	6652800	6674235	zyg	0.645454545	0	0.01	0	0.01	0.15	0.06	0.06	0.16	0.03	0.07	0.1	0.13	0.02	0	0.02	0.14	0.06	0.05	0.04	0.05	0.05	0.07	0.07	0.03																																																
Cad87A	3R	7719233	7727915	mat	0.964697221	37.58	26.16	47.13	27.79	40.84	21.81	18.87	79.19	46.14	73.41	54.56	86.84	45.78	26.35	47.44	50.88	34.22	44.09	18.41	49.64	38.53	62.11	38.7	33.01	37.36	26.16	47.13	27.79	40.84	21.53	18.87	78.83	43.85	71.47	49.78	78.75	45.78	26.12	47.44	50.88	34.09	44.09	18.41	49.64	36.51	61.13	36.2	29.28	0.22	0	0	0	0	0.28	0	0.36	2.29	1.94	4.78	8.09	0	0.23	0	0	0.13	0	0	0	2.02	0.98	2.5	3.73
Cad88C	3R	10460474	10467334	zyg	0.842681583	0	0	0	0.09	0.12	0.13	0.12	0.68	2.2	3.31	4.92	8.66	0	0	0	0	0.09	0.07	0.24	0.07	3.78	1.54	4.94	4.62	0	0	0	0	0	0	0	0.06	1.15	1.16	2.56	4.22	0	0	0	0	0	0	0	0	2.13	0.94	2.01	1.93	0	0	0	0	0	0	0	0.62	1.05	2.15	2.36	4.44	0	0	0	0	0	0	0	0	1.65	0.6	2.93	2.69
Cad89D	3R	12310287	12321141		0	0	0.03	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.02																																																
Cad96Ca	3R	21023288	21034003	zyg	0.969956033	0	0	0	0	0.04	0	0	0.02	1.09	0.04	0.44	0.65	0	0	0.02	0	0	0.04	0	0.02	0.11	0.11	0.63	0.77																																																
Cad96Cb	3R	21049877	21058043	zyg	0.771535581	0	0.04	0.1	0.25	0.02	0	0	0.08	0.08	0	0.18	0.51	0.07	0	0.02	0.08	0.07	0.02	0.02	0.02	0.13	0.07	0.27	0.26																																																
Cad99C	3R	25667378	25680421	zyg	1.041401274	0	0.06	0.03	0	0.06	0.06	0.03	0.04	0.13	0.13	0.15	0.55	0.06	0	0.06	0	0.03	0.06	0.05	0.03	0.12	0.13	0.08	0.22																																																
CadN	2L	17649865	17739521	zyg	1.019486545	0.03	0.04	0.04	0	0.04	0.03	0.01	0.08	0.09	0.16	0.73	2.23	0.04	0.01	0	0.04	0	0.03	0	0.04	0.4	0.14	0.4	0.73																																																
CadN2	2L	17788304	17816961	matzyg	0.808130081	0.01	0	0	0	0.02	0	0	0.15	0.2	0.36	0.07	0.16	0	0.02	0	0.07	0	0.09	0	0	0.21	0.36	0.11	0.06																																																
Caf1	3R	11051288	11053286	mat	0.98772441	249.96	258.3	279.92	312.69	342.86	336.56	296.15	368.37	365.13	400.24	293.1	352.54	275.55	258.23	307.08	304.2	340.43	340.73	319.38	374.29	303.24	375.51	319.65	286.46																																																
Caf1-105	2R	6353517	6355994	matzyg	0.968909201	145.36	116.51	105.72	62.65	27.23	30.71	47.13	62.84	125.24	186.99	104.61	91.53	135.51	106.64	98.47	64.26	36.78	30.12	61.12	52.67	144.8	145.15	117.81	86.83																																																
Caf1-180	X	8496393	8500335	mat	0.891829456	145.57	147.58	150.97	123.85	127.28	92.68	96.39	176.41	74.74	109.24	75.07	106.76	131.95	187.09	159.2	175	134.2	154.55	87.15	151.74	67.35	128.55	76.92	61.28	145.37	147.14	150.97	123.19	126.05	92.52	96.24	175	60.99	94.75	75.07	106.58	131.48	186.89	159.2	174.32	134.2	153.91	87.15	151.74	67.18	128.22	76.92	61.28	0.2	0.44	0	0.66	1.23	0.16	0.15	1.41	13.75	14.49	0	0.18	0.47	0.2	0	0.68	0	0.64	0	0	0.17	0.33	0	0
cag	2R	6780527	6781865	mat	0.993113341	11.96	10.1	16.6	18.28	9.21	7.19	4.84	3.55	0.83	2.32	2	2.6	17.51	6.33	11.94	17.17	9.67	8.94	2.67	8.84	3.48	2.07	1.84	1.69	11.96	10.1	16.6	18.28	9.21	7.19	0	0	0	0	0	0	17.51	0	11.94	17.17	9.67	0	0	7.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18	0	0	0	0
CAH1	2L	13803626	13809997		0.502752294	0	0	0	0.01	0.04	0.22	0.26	0.01	0.16	0.02	0.01	0.01	0	0.01	0	0	0.2	0.06	0.08	0.01	0.15	0.22	0.2	0.02																																																
CAH2	3L	12172978	12176455	mat	1.006530612	38.61	25.65	48.21	32.64	6.48	5.01	5.33	2.34	0.11	0.27	0.29	0.3	35.38	28.1	39.62	39.25	13.61	6	1.45	6.57	0.24	0.57	0.33	0.4																																																
Caki	3R	17611483	17648364	mat	1.023305663	43.9	37.49	28.36	16.03	5.52	2.38	3.85	4.05	3.3	1.63	3.81	5.16	32.37	43.7	25.13	19.78	8.12	6.54	2.61	4.94	2.61	1.93	3.15	3.53	43.9	37.49	28.36	16.03	0	0	0	0	0	0	0	4.22	32.37	0	25.13	19.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0	0	0
cal1	3R	12914012	12917663	mat	1.004387019	113.47	87.65	142.97	52.02	11.11	5.66	4.39	7.06	8.31	10.67	12.28	12.34	127.07	93.76	94.15	78.32	14.57	10.04	3.79	7.83	11.14	10.54	10.19	8.22	113.47	87.65	142.77	51.83	9.68	5.21	0	6.18	2.9	6.32	6.03	6.92	127.07	93.76	94.15	78.32	13.61	9.3	3.32	7.05	4.7	7.26	4.65	4.46	0	0	0.2	0.19	1.43	0.45	0	0.88	5.41	4.35	6.25	5.42	0	0	0	0	0.96	0.74	0.47	0.78	6.44	3.28	5.54	3.76
CalpA	2R	15312577	15318068	matzyg	1.02561938	11.06	8.45	13.5	13.42	19.2	12.93	8.18	23.22	24.97	35.34	38.1	41.97	11.99	5.42	12.87	15.88	14.17	13.4	11.71	19.68	32.45	31.37	26.51	28.49	11.06	8.18	13.5	13.42	17.42	12.33	7.63	21.11	14.88	23.89	23.31	25.47	11.99	5.42	12.87	15.88	13.74	12.67	10.61	18.95	16.8	22.91	17.02	21.07	0	0.27	0	0	1.78	0.6	0.55	2.11	10.09	11.45	14.79	16.5	0	0	0	0	0.43	0.73	1.1	0.73	15.65	8.46	9.49	7.42
CalpB	3L	9881912	9886419	mat	0.899822106	27.59	25.39	38.54	29.23	35.85	24.08	16.75	37.46	11.21	17.03	6.94	9.57	35.4	29.59	34.99	42.47	32.11	31.02	13.95	34.32	6.89	18.3	6.76	4.5	0	0	0	0	35.85	0	0	0	0	0	0	0	0	0	0	42.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CalpC	X	16219801	16222560	mat	1.003384292	16.51	23.91	18.46	9.67	6.5	2.67	3.4	4.17	6.55	5.25	8.17	5.14	16.98	22.58	16.78	13.92	7.48	6.6	2.58	6.2	5.58	3.9	5.88	4.59																																																
cals	4	1135803	1144024	matzyg	1.073432076	3.75	1.1	6.11	3.6	8.55	3.75	1.29	5.09	3.94	7.77	14.55	12.8	5.04	0.76	2.93	6.35	5.97	3.31	0.78	5.41	8.34	10.35	5.94	9.63																																																
Calx	3R	16811757	16840182	mat	0.998898959	78.4	46.09	27.44	2.66	0.14	0.17	0.09	0.16	0.1	0.02	0.01	0.07	57.59	66.25	20.15	5.85	0.3	0.22	0.1	0.12	0	0.14	0.01	0.34																																																
Cam	2R	8146912	8162130	mat	1.022898387	795.04	552.99	933.52	921.79	821.27	907.4	583.93	1223.76	952.36	1210.85	1160.83	1047.1	875.27	483.88	843.07	1082.79	831.73	884.01	620.82	1062.14	967.73	1054.4	754.69	1085.97																																																
CaMKI	4	466119	474566	mat	1.078360449	15.38	7.94	24.93	11.37	3.64	3.12	1.52	2.56	2.59	3.39	5.36	3.97	20.18	3.67	14.26	11.64	5.12	3.5	0.61	4.45	3.65	2.56	3.42	4.39																																																
CaMKII	4	1057780	1071994	mat	0.965931445	32.92	10.33	48.5	34.1	40.19	17.14	10.71	28.78	12.92	23.09	26.21	14.56	45.03	4.1	31.54	43.85	33.76	27.94	10.82	36.45	22.3	29.44	14.55	13.93																																																
Camta	2R	5333550	5365595	mat	0.880990149	12.49	13.53	18.6	10.62	12.02	6.32	5.01	15.92	2.68	7.73	2.54	4.44	14.33	15.36	13.94	18.98	11.7	11.71	3.93	13.46	1.99	5.66	1.81	1.74	12.49	13.53	18.6	10.62	12.02	6.32	5.01	15.92	2.68	7.57	2.19	3.13	14.33	15.36	13.73	18.98	11.7	11.71	3.93	13.46	0	5.31	0	1.74	0	0	0	0	0	0	0	0	0	0.16	0.35	1.31	0	0	0.2	0	0	0	0	0	0	0.35	0	0
can	3L	10257006	10260211		0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.05	0.02																																																
cana	2L	11269726	11279847		1.24E-16	60.35	0	87.32	0	0	0	0	0	0	0	0	0	0	0	0	0	57.15	38.61	0	6.78	0	0	0	0	59.78	0	87.32	0	0	0	0	0	0	0	0	0	0	0	0	0	57.15	38.61	0	0	0	0	0	0	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CanA-14F	X	16459505	16481160	mat	0.837066547	48.67	40.23	23.67	3.87	1.05	0.55	0.61	0.62	0.26	0.23	0.26	0.36	51.56	57.09	14.1	7.68	1.6	1.68	0.37	0.85	0.1	0.32	0.27	0.25																																																
CanA1	3R	26865097	26872546	zyg	0.95049505	0	0	0	0.01	0.02	0	0	0	0.04	0	0.09	0.12	0	0.01	0	0	0	0.02	0	0	0.06	0	0.08	0.04																																																
CanB	X	5226777	5228568		0.188841202	0	0	0	0	0	0	0	0	0	0	0.11	0	0.16	0	0	0.05	0.11	0	0	0	0	0	0.08	0																																																
CanB2	2R	3673516	3675640	mat	1.036217466	159.39	95.51	112.83	48.43	9.86	7.34	7.73	6.53	1.42	1.52	1.68	0.92	163.05	91.08	92.7	48.03	13.1	10.66	2.91	7.83	1.05	1.96	0.84	1.16	159.39	95.51	111.31	48.43	0	0	0	0	0	0	0	0	163.05	91.08	92.7	48.03	0	0	0	0	0	0	0	0	0	0	1.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cap	X	16483034	16487462	mat	0.878341647	69.01	48.2	42.47	7	2.83	1.57	2.6	6.7	23.51	22.77	34.46	22.18	70.57	46.22	35.95	18.04	2.22	2.61	2.27	3.35	16.93	11.39	17.05	13.3																																																
CAP	2R	6156527	6194529	mat	1.045807476	15.37	13	18.97	11.66	2.26	1.3	1.5	1.17	0.17	0.25	0.26	0.45	9.52	18.39	20.08	15.11	5.14	1.43	0.38	1.17	0.26	0.32	0.25	0.22																																																
CAP-D2	3R	25501397	25505985	mat	0.987914932	61.92	57.36	75.97	52.14	38.65	20.04	18.81	36.1	33.25	38.34	40.34	55.76	56.87	55.89	59.27	66.78	39.53	36.85	21.25	33.59	42.52	39.76	43.62	34.6	61.92	57.36	75.81	52.14	37.53	19.48	16.75	34.9	21.6	30.03	28.5	36.46	56.87	55.62	59.14	66.6	38.86	36.5	21.25	32.06	27.01	30.68	29.08	20.72	0	0	0.16	0	1.12	0.56	2.06	1.2	11.65	8.31	11.84	19.3	0	0.27	0.13	0.18	0.67	0.35	0	1.53	15.51	9.08	14.54	13.88
Cap-D3	2L	5525904	5535958	matzyg	1.035849292	8.91	4.11	2.97	0.53	0.47	0.29	0.25	0.45	7.31	5.13	11.71	13.36	6.76	3.59	2.41	0.38	0.17	0.56	0.32	0.22	10.64	3.83	8.62	8.6	8.91	0	0	0	0	0	0	0	4.23	3.16	6.39	8.81	6.4	0	0	0	0	0	0	0	3.99	1.77	2.76	5.85	0	0	0	0	0	0	0	0	3.08	1.97	5.32	4.55	0.36	0	0	0	0	0	0	0	6.65	2.06	5.86	2.75
